Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
Kruskal,Rectangle,2160,4.32,57.85,0.35,29.46,5.53,57.85,2.6,30.58,3.95,43.84
Division,Square,576,6.2,86.99,0.49,45.34,6.93,86.99,4.39,51.09,7,76.11
Sidewinder,Rectangle,5600,6.95,91.37,0.37,31.46,7.38,91.37,3.3,34.15,8.48,80.74
Kruskal,Rectangle,840,6.2,88.24,0.68,61.48,6.97,88.24,5.56,64.92,7.69,87.12
Ellers,Rectangle,1600,6.52,90.87,0.67,61.6,7.36,90.99,5.66,61.6,6.42,68.36
Ellers,Rectangle,1716,3.29,48.09,0.42,37.09,3.66,48.09,3.73,44.34,3.79,45.09
BacktrackingGenerator,Rectangle,624,5.66,80.99,0.65,59.1,6.35,80.99,5.77,61.23,6.98,75.86
Division,Rectangle,3024,5.22,73.98,0.67,59.97,6.14,73.98,5.96,67.6,6.19,69.11
Wilsons,Rectangle,5328,4.63,64.35,0.43,36.59,7.19,64.35,7.86,41.71,6.97,61.98
BinaryTree,Rectangle,1700,2.92,44.09,0.29,23.45,3.32,44.09,2.25,26.27,4.12,43.34
CellularAutomaton,Square,2500,4.13,55.22,0.23,19.95,4.49,55.22,2.37,20.08,4.68,47.97
Division,Rectangle,3360,4.43,60.6,0.36,32.08,4.91,60.6,5.02,58.41,5,55.47
GrowingTree,Rectangle,1944,3.94,54.16,0.45,42.09,4.31,54.22,4.53,52.35,4.44,48.47
CellularAutomaton,Rectangle,1056,6.72,87.87,0.41,37.59,7.6,87.87,3.85,41.4,6.95,76.99
AldousBroder,Rectangle,1408,6.74,96.62,0.4,35.83,8.96,96.62,3.54,38.27,9.19,93.25
TrivialMaze,Rectangle,1512,2.71,40.84,0.29,24.83,3.05,40.84,2.09,25.7,2.9,34.33
AldousBroder,Rectangle,1240,5.76,79.86,0.63,55.22,6.76,79.86,6,61.79,6.92,73.61
Kruskal,Rectangle,4056,2.63,39.34,0.22,17.57,3.17,39.34,1.67,19.7,2.73,30.46
Prims,Rectangle,680,4.8,68.23,0.63,52.85,6.33,68.23,4.83,52.03,6.27,62.1
AldousBroder,Rectangle,1680,5.68,81.74,0.76,69.61,6.45,81.74,6.54,74.61,7.35,79.61
Division,Rectangle,3400,4.85,69.36,0.51,45.72,5.89,69.48,4.64,45.72,4.5,45.84
AldousBroder,Rectangle,2436,6.51,88.49,0.47,40.71,7.16,88.49,4.69,48.28,7.29,80.99
AldousBroder,Rectangle,1064,4.33,58.1,0.31,26.58,5.01,58.1,6.24,60.6,4.69,46.59
Prims,Rectangle,3552,6.01,80.24,0.44,38.34,6.48,80.24,7.78,90.62,7.11,76.49
TrivialMaze,Rectangle,4480,6.31,93.25,0.67,61.1,7.99,93.25,6.48,70.54,8.18,82.99
BacktrackingGenerator,Square,6084,4.25,52.6,0.54,45.97,4.5,52.72,4.16,46.03,4.44,47.72
Sidewinder,Rectangle,4640,3.39,47.09,0.34,29.46,4.37,47.09,3.68,37.71,4.29,43.84
Prims,Rectangle,840,5.57,74.36,0.69,61.48,5.81,74.36,6.2,69.11,7.2,73.98
GrowingTree,Rectangle,912,3.61,45.22,0.61,46.47,4.28,45.34,1.45,14.95,2.47,25.08
CellularAutomaton,Rectangle,1488,4.1,56.85,0.36,33.71,4.7,56.85,3.02,36.21,4.78,52.35
AldousBroder,Rectangle,1440,5.35,72.86,0.65,58.1,6.23,72.86,6.11,64.29,8.22,71.98
AldousBroder,Rectangle,4480,3.3,49.22,0.5,45.97,3.9,49.22,4.37,48.84,4.85,48.97
Ellers,Rectangle,3264,4.77,66.23,0.44,36.96,6.24,66.23,5.4,58.97,5.9,62.85
AldousBroder,Rectangle,3348,2.22,32.96,0.21,17.82,2.48,32.96,1.64,19.32,2.37,27.58
GrowingTree,Rectangle,3400,4.61,57.85,0.67,49.47,6.75,57.85,5.66,49.72,6.87,57.72
TrivialMaze,Rectangle,1288,7.22,99.5,0.42,38.59,7.78,99.5,3.62,42.9,8.14,88.74
Ellers,Rectangle,5760,6.81,92.5,0.59,50.47,7.71,92.5,6.11,66.04,7.71,82.36
BacktrackingGenerator,Rectangle,4340,7.46,99.87,0.69,60.23,8.18,99.87,6.53,69.54,8.93,96.75
Division,Rectangle,2208,6.36,89.49,0.45,40.09,7.45,89.49,7.92,88.62,8.46,89.49
HuntAndKill,Rectangle,2688,5.36,69.86,0.46,40.96,6.28,69.86,3.83,41.4,6.07,66.1
HuntAndKill,Rectangle,880,6.53,90.74,0.36,32.21,7.73,90.74,3.71,36.77,7.7,77.11
AldousBroder,Rectangle,1872,7.18,94.87,0.56,51.72,7.88,94.87,5.04,57.16,8.49,90.99
HuntAndKill,Rectangle,1280,3.03,47.22,0.32,28.58,3.52,47.22,4.37,47.09,4.39,47.09
Prims,Rectangle,1872,2.59,37.34,0.3,25.95,2.84,37.34,2.37,24.39,3.11,35.46
Ellers,Rectangle,3276,4.26,58.85,0.7,59.22,5.76,58.97,2.54,28.64,4.89,43.21
Wilsons,Rectangle,988,4.42,59.22,0.6,52.85,4.84,59.22,4.9,55.03,5.09,57.35
AldousBroder,Rectangle,840,6.27,86.74,0.57,48.34,6.82,86.74,5.79,58.35,8.05,81.86
AldousBroder,Rectangle,2516,4.33,59.85,0.31,28.58,4.72,59.85,2.57,30.89,4.91,55.47
BinaryTree,Rectangle,2048,3.71,55.72,0.32,29.21,4.96,55.72,2.84,30.89,5.33,52.72
GrowingTree,Rectangle,1984,4.86,63.1,0.36,31.08,5.24,63.1,3.67,44.09,5.1,52.85
GrowingTree,Rectangle,2048,4.65,69.61,0.29,24.7,6.36,69.61,2.13,25.39,6.66,67.85
BacktrackingGenerator,Rectangle,6080,6.86,97.25,0.45,40.96,8.97,97.25,8.2,96.75,8.28,91.37
Prims,Rectangle,3900,4.84,67.6,0.7,63.98,5.75,67.6,5.93,67.6,6.44,67.6
BinaryTree,Rectangle,1092,4.72,61.1,0.32,29.21,5.03,61.1,2.5,29.52,4.88,49.72
Ellers,Rectangle,2856,6.61,93,0.41,37.34,7.45,93,3.59,39.9,9.17,91.87
Kruskal,Rectangle,2340,4.51,61.6,0.59,50.84,4.83,61.6,4.72,51.84,4.93,56.35
AldousBroder,Rectangle,1768,6.74,97.44,0.68,54.85,8.82,97.5,5.54,61.73,8.98,95.25
Wilsons,Rectangle,1440,6.35,89.24,0.88,82.61,7.31,89.24,7.5,87.24,7.92,87.62
Wilsons,Rectangle,616,5.24,74.86,0.65,60.48,6.64,74.86,6.5,70.23,7.31,73.48
Sidewinder,Rectangle,2108,6.19,88.62,0.67,64.98,7.13,88.62,6.72,77.67,7.17,83.11
Wilsons,Rectangle,2992,8.06,94.5,0.74,60.35,11.16,94.5,11.34,93.62,11.46,93.87
Sidewinder,Rectangle,5120,5.95,86.49,0.33,29.96,7.4,86.49,2.89,33.21,6.51,72.11
Prims,Rectangle,3520,5.2,71.36,0.56,43.84,6.27,71.36,6.44,70.36,6.7,70.36
Sidewinder,Rectangle,3024,4.72,61.1,0.3,26.83,5.12,61.1,2.41,26.39,5.92,57.72
TrivialMaze,Rectangle,1680,5.63,74.48,0.6,54.6,6.54,74.48,5.03,49.16,7.08,72.98
Sidewinder,Rectangle,1200,3.73,55.22,0.22,19.32,4.51,55.22,1.77,21.2,4.57,49.84
BinaryTree,Rectangle,5320,6.58,92.12,0.85,61.98,8.36,92.12,6.83,70.42,7.71,84.62
Ellers,Rectangle,1400,5.89,74.11,0.65,58.6,6.11,74.11,5.81,64.35,6.07,68.48
Wilsons,Rectangle,5304,2.59,39.84,0.32,27.83,3.12,39.84,2.56,28.83,4.21,39.59
CellularAutomaton,Rectangle,660,4.59,60.85,0.54,47.97,4.98,60.85,3.91,44.72,5.49,59.72
GrowingTree,Rectangle,1920,4.99,68.98,0.58,53.97,6.6,68.98,5.15,52.16,6.43,64.6
CellularAutomaton,Rectangle,3328,4.77,68.61,0.57,46.47,5.82,68.61,3.76,41.65,6.21,66.85
GrowingTree,Rectangle,4224,4.59,61.41,0.49,42.84,5.18,61.48,4,42.84,5.18,50.34
CellularAutomaton,Square,1296,6.35,88.49,0.43,38.46,7.84,88.49,5.64,62.66,7.79,84.99
TrivialMaze,Rectangle,3888,6.42,89.12,1.02,85.74,7.7,89.12,7.91,88.62,8.2,88.62
Prims,Rectangle,1944,5.61,74.11,0.26,23.45,6.12,74.11,6.02,68.48,5.27,58.85
BinaryTree,Rectangle,2240,6.49,92.37,0.8,72.98,7.87,92.37,6.16,67.85,8.51,91.37
Sidewinder,Rectangle,988,6.03,87.62,0.63,56.72,7.24,87.62,5.36,58.54,7.49,84.12
Kruskal,Rectangle,1792,5.83,81.74,0.52,46.97,7.23,81.74,7.15,81.24,6.63,70.36
Wilsons,Rectangle,2880,4.33,61.6,0.45,39.84,5,61.6,5.09,58.22,5.49,61.35
TrivialMaze,Rectangle,1564,6.36,84.24,0.79,68.98,7.69,84.24,6.57,73.61,7.52,83.61
Wilsons,Rectangle,760,3.37,47.72,0.34,30.21,3.61,47.72,2.56,31.33,3.99,42.21
GrowingTree,Rectangle,2888,3.56,53.22,0.49,42.96,5.14,53.22,4.51,43.71,4.38,48.72
CellularAutomaton,Rectangle,1920,5.7,75.98,0.67,59.6,6.31,75.98,5.61,62.35,7.58,71.61
TrivialMaze,Rectangle,2880,4.81,68.36,0.54,49.34,5.36,68.36,5.3,61.35,6.17,67.85
CellularAutomaton,Rectangle,1920,6.92,99.25,0.83,80.61,8.25,99.25,8.34,99.25,8.71,99.25
BinaryTree,Rectangle,2772,4.8,65.1,0.42,37.21,5.52,65.1,3.44,39.71,5.83,61.35
CellularAutomaton,Rectangle,2728,6.68,88.12,0.59,53.1,8.21,88.12,4.93,51.59,9.02,82.74
BacktrackingGenerator,Rectangle,4640,1.41,20.58,0.18,15.95,1.59,20.58,1.59,16.32,1.52,18.2
Sidewinder,Square,1444,5.67,74.36,0.69,60.1,6.87,74.36,5.71,60.54,6.99,69.23
HuntAndKill,Rectangle,1776,6.43,89.37,0.81,74.11,7.13,89.37,7.06,75.48,7.91,84.37
Wilsons,Rectangle,3256,5.07,74.73,0.7,66.1,6.82,74.73,4.95,55.6,7.54,74.48
BinaryTree,Rectangle,3588,7.28,92.87,0.64,58.85,8.53,92.87,5.74,61.35,9.08,92.12
TrivialMaze,Rectangle,5624,4.19,57.6,0.28,24.7,4.71,57.6,2.35,27.58,5.87,56.22
BacktrackingGenerator,Rectangle,2900,5.13,71.23,0.52,47.22,6.3,71.48,4.49,47.28,5.56,56.97
Sidewinder,Rectangle,2888,5.1,67.6,0.7,62.73,6.04,67.6,6.21,65.35,6.95,67.6
Division,Rectangle,2464,6.38,94.87,0.39,34.58,7.92,94.87,4.14,39.4,7.47,83.86
Prims,Rectangle,1624,6.17,88.56,0.78,70.48,7.82,88.62,2.81,32.9,7.33,77.24
CellularAutomaton,Rectangle,2280,4.72,65.79,0.54,44.47,5.56,65.85,1.86,20.14,5.86,60.35
AldousBroder,Rectangle,2432,6.17,87.87,0.81,77.36,7.51,87.87,8.41,87.49,9.16,87.87
TrivialMaze,Rectangle,4620,6.36,88.12,0.51,46.22,7,88.12,3.92,46.65,7.46,81.99
Division,Rectangle,1776,6.1,81.86,0.3,24.95,8.32,81.86,5.55,59.47,7.43,81.24
Kruskal,Rectangle,5016,6.59,90.31,0.87,82.86,7.34,90.37,7.64,86.05,9,87.62
Division,Rectangle,1520,4.36,60.85,0.2,16.95,5.25,60.85,1.54,17.07,4.83,46.47
HuntAndKill,Rectangle,1320,6.58,93.37,0.47,42.59,8.51,93.37,4.62,47.78,8.75,87.24
CellularAutomaton,Rectangle,800,5.07,70.54,0.88,70.98,6,70.61,5.94,68.73,5.36,61.1
BacktrackingGenerator,Rectangle,2040,7.37,98.87,0.42,37.96,8.95,98.87,5.73,61.79,9.99,98.12
Ellers,Rectangle,3264,5.76,82.11,0.78,73.23,6.65,82.11,7.13,78.42,7.14,80.11
Prims,Rectangle,1600,6.81,92.87,0.32,27.83,7.49,92.87,5.78,59.22,8.19,87.99
Wilsons,Rectangle,2516,5.71,83.74,0.54,50.34,9.17,83.74,8.14,50.59,12.12,78.11
HuntAndKill,Rectangle,2448,4.66,67.1,0.64,58.35,5.33,67.1,5.75,66.85,6.02,66.85
BacktrackingGenerator,Rectangle,896,6.24,87.49,0.83,78.74,7.7,87.49,7.23,81.74,7.68,87.37
TrivialMaze,Rectangle,4200,6.33,87.62,0.55,47.84,7.2,87.62,4.83,52.78,7.62,83.61
Prims,Rectangle,4092,4.26,61.23,0.6,55.22,4.99,61.35,5.34,55.66,5.17,53.1
TrivialMaze,Rectangle,4960,4.84,63.6,0.6,52.97,5.19,63.6,5.8,60.73,6.01,62.23
Kruskal,Rectangle,3920,7.21,98.25,0.57,52.6,9.03,98.25,5.22,53.28,8.36,88.99
BinaryTree,Rectangle,2760,6.49,90.62,0.85,79.61,7.69,90.62,7.99,90.49,8.24,90.49
BinaryTree,Rectangle,792,5.21,70.48,0.42,38.34,6.62,70.48,4.44,42.96,6.53,68.61
Sidewinder,Rectangle,2160,6.43,87.12,0.4,37.21,6.99,87.12,3.35,40.03,7.49,86.12
Division,Rectangle,4144,6.82,93.25,0.55,48.84,9.38,93.25,6.86,75.86,8.56,89.99
Ellers,Rectangle,952,5.01,71.11,0.44,40.34,6.05,71.11,3.89,41.46,6.16,67.48
HuntAndKill,Rectangle,1280,7.64,98.12,0.44,39.84,8.44,98.12,4.23,41.09,10.63,94.87
BacktrackingGenerator,Rectangle,3400,6.07,80.11,0.66,56.6,6.26,80.11,6.51,76.11,6.97,78.11
HuntAndKill,Rectangle,1856,4.36,60.98,0.52,45.84,4.99,60.98,3.99,45.09,5.03,56.22
Division,Rectangle,1176,7,99.87,0.78,75.11,7.87,99.87,6.14,70.04,9.08,95.5
BacktrackingGenerator,Rectangle,1008,6.68,83.99,0.28,24.83,7.55,83.99,2.26,26.7,7.07,72.73
Ellers,Rectangle,884,5.29,72.23,0.31,28.58,6.04,72.23,3.44,37.77,5.56,59.85
Wilsons,Rectangle,2128,6.18,87.99,0.53,47.97,7.31,87.99,5.11,57.47,7.91,80.49
TrivialMaze,Rectangle,1872,6.22,87.99,0.68,58.97,7.7,87.99,5.77,64.17,7.99,85.99
BinaryTree,Rectangle,1656,4.71,64.1,0.53,47.34,6,64.1,6.13,64.1,6.21,64.1
Prims,Rectangle,1824,6.61,95,0.48,43.21,7.71,95,4.25,48.34,8.35,91.12
Sidewinder,Rectangle,3496,5.83,78.86,0.56,46.97,6.92,78.86,6.23,73.86,7.09,76.74
Prims,Rectangle,5440,5.76,78.36,0.75,62.1,6.3,78.36,5.3,62.35,6.48,74.23
HuntAndKill,Square,900,4.07,56.72,0.25,22.08,4.79,56.72,2.05,22.95,5.31,51.84
GrowingTree,Rectangle,1280,3.02,45.34,0.51,43.71,3.39,45.34,3.69,44.97,3.72,45.09
AldousBroder,Rectangle,3808,5.37,72.86,0.69,64.85,6.36,72.86,7.32,69.48,6.88,72.73
BacktrackingGenerator,Rectangle,3720,4.9,66.23,0.58,52.97,5.64,66.23,2.83,33.21,6.14,63.98
BacktrackingGenerator,Rectangle,1368,6.94,95.12,0.54,45.09,8.38,95.12,4.9,56.6,8.8,93.5
BacktrackingGenerator,Rectangle,2808,5.17,71.98,0.58,52.47,5.74,71.98,6.29,68.48,6.5,70.86
Prims,Rectangle,1924,4.19,58.1,0.27,22.7,4.99,58.1,5.26,59.6,4.79,47.84
HuntAndKill,Rectangle,2300,6.66,87.24,0.75,71.73,7.37,87.24,6.82,81.74,7.91,85.37
CellularAutomaton,Rectangle,2688,6.41,90.87,0.75,65.1,8.24,90.87,5.99,65.6,8.64,90.62
CellularAutomaton,Rectangle,780,3.85,51.34,0.29,24.2,4.4,51.34,2.09,24.95,4.39,47.84
Kruskal,Rectangle,4352,5.17,75.98,0.62,55.47,7.98,76.11,6.64,77.05,6.58,64.23
Division,Rectangle,2376,5.76,82.24,0.55,47.84,6.63,82.24,2.96,36.46,6.01,66.73
TrivialMaze,Rectangle,5624,4.83,69.73,0.61,57.35,6.84,69.73,5.64,58.6,6.68,69.36
Kruskal,Rectangle,1848,4.74,61.6,0.4,34.58,4.95,61.6,4.19,47.78,4.99,55.72
BinaryTree,Rectangle,1760,6.01,89.87,0.84,70.98,8.06,89.87,7.32,83.86,7.84,87.62
Wilsons,Rectangle,1944,3.55,52.97,0.39,35.21,4.24,52.97,3.58,43.34,4.54,48.47
Prims,Rectangle,3960,5.76,75.98,0.59,50.97,6.22,75.98,5.99,66.73,6.72,71.48
CellularAutomaton,Rectangle,3888,6.35,80.99,0.63,55.72,6.44,80.99,6.21,62.23,7.03,78.24
GrowingTree,Rectangle,4200,6,87.12,0.61,57.1,7.25,87.12,5.78,66.23,7.34,81.24
HuntAndKill,Rectangle,4588,6.72,97.5,1.18,87.24,8.99,97.5,9.1,96.87,8.65,97
Prims,Rectangle,2200,6.32,89.12,0.57,51.84,7.86,89.12,5.49,65.29,6.86,72.73
Prims,Rectangle,768,6.3,92.37,0.68,62.73,8.25,92.37,6.05,70.17,8.62,91.74
Kruskal,Rectangle,1596,7.37,98.44,0.9,84.37,8.01,98.62,8.65,97.62,8.3,87.62
HuntAndKill,Rectangle,2736,3.73,55.72,0.36,32.46,5.37,55.72,3.49,34.4,4.92,52.72
CellularAutomaton,Rectangle,2640,7.33,94,0.43,37.71,7.52,94,3.21,39.84,8.61,93.87
Division,Rectangle,2280,6.51,92.62,0.87,78.86,7.46,92.62,7.76,80.86,8.56,92.5
Kruskal,Rectangle,912,6.13,79.49,0.66,51.34,6.77,79.61,5.93,53.1,6.46,59.85
CellularAutomaton,Rectangle,1820,1.75,25.83,0.18,15.07,1.98,25.83,1.32,15.07,2.2,17.82
CellularAutomaton,Rectangle,1856,5.7,80.49,0.68,61.1,6.46,80.49,6.02,65.17,6.42,68.61
Sidewinder,Rectangle,800,6.69,89.31,0.97,85.24,8.09,89.49,7.78,85.62,7.77,77.36
GrowingTree,Rectangle,748,6.44,91.99,0.42,38.21,7.29,91.99,5.76,64.48,8.3,89.37
BacktrackingGenerator,Rectangle,1960,6.48,93.5,0.8,78.24,8.12,93.5,8.01,85.87,8.63,92.75
Prims,Rectangle,3120,4.61,59.35,0.26,22.7,4.93,59.35,2.04,23.83,4.83,52.1
Division,Rectangle,3248,5.69,79.11,0.36,24.33,7.15,79.11,4.43,47.72,6.91,70.23
BinaryTree,Rectangle,2176,5.15,74.8,0.92,83.61,5.93,74.86,7.36,84.62,6.1,67.48
BinaryTree,Rectangle,2088,5.44,79.61,0.48,36.46,7.07,79.61,3.46,38.77,6.55,72.36
AldousBroder,Rectangle,1280,4.61,63.35,0.46,40.21,5,63.35,5.23,57.16,5.71,59.47
HuntAndKill,Rectangle,1760,6.39,88.49,0.52,47.22,7.38,88.49,4.48,49.53,7.22,80.99
AldousBroder,Square,1764,6.79,91.93,0.82,74.48,7.89,91.99,8.69,97.12,7.92,85.49
Division,Rectangle,4752,6.06,82.86,0.4,35.46,6.7,82.86,2.99,36.77,6.9,75.48
BinaryTree,Rectangle,2240,2.85,43.34,0.29,24.83,3.85,43.34,2.11,24.64,3.52,39.09
HuntAndKill,Rectangle,3036,4.47,61.1,0.18,15.82,5.55,61.1,1.41,16.51,5.27,56.1
HuntAndKill,Rectangle,1292,5.61,72.86,0.69,50.34,6.22,72.86,6.49,70.86,6.88,72.11
Ellers,Rectangle,1008,5.29,69.86,0.4,35.58,5.96,69.86,3.31,40.46,5.8,63.23
Ellers,Rectangle,3432,7.06,97.62,0.87,77.86,8.6,97.62,6.94,68.98,8.82,96
BacktrackingGenerator,Rectangle,3100,3.39,45.84,0.39,35.46,3.49,45.84,2.85,33.71,4.28,43.34
Prims,Rectangle,3080,4.09,54.85,0.31,28.21,4.67,54.85,2.53,29.33,4.81,48.09
GrowingTree,Rectangle,3952,2.15,31.46,0.24,20.83,2.44,31.46,1.75,21.14,2.12,24.95
Kruskal,Rectangle,1944,3.74,50.59,0.3,25.83,4.84,50.59,3.28,29.58,5.51,50.09
Division,Rectangle,3808,4.9,66.48,0.41,38.09,5.2,66.48,3.68,40.78,5.57,63.48
Division,Rectangle,3276,8.28,94.5,1.28,88.62,11.9,94.5,10.32,93.62,12.54,94.12
Ellers,Rectangle,2340,4.82,67.6,0.51,42.59,5.42,67.6,5.79,66.98,6.44,67.23
HuntAndKill,Rectangle,1680,5.26,71.98,0.67,63.85,5.83,71.98,6.32,70.48,7.31,71.86
HuntAndKill,Rectangle,2300,5.75,82.74,0.56,46.34,6.85,82.74,4.39,46.84,7.13,77.36
GrowingTree,Rectangle,4080,6.02,80.99,0.66,60.98,6.69,80.99,6.36,65.73,7.62,79.11
Prims,Rectangle,4200,6.42,84.87,0.5,41.84,6.81,84.87,4.83,53.1,7.11,80.36
Ellers,Rectangle,1980,5.33,70.23,0.43,38.96,5.64,70.23,3.19,39.21,6.5,60.23
Wilsons,Rectangle,2880,6.78,93.87,0.47,42.21,7.82,93.87,6.8,78.42,8.69,90.74
BinaryTree,Rectangle,2352,6.95,97.25,0.87,79.36,8.78,97.25,8.2,86.99,8.94,93.37
BinaryTree,Rectangle,1560,6.06,85.37,0.67,63.98,6.77,85.37,6.36,74.36,7.57,82.61
Division,Rectangle,4092,4.61,61.48,0.46,39.46,5.67,61.48,5.23,58.47,5.58,56.1
BinaryTree,Rectangle,600,6.18,82.11,0.44,39.09,7.14,82.11,4.19,43.78,6.47,71.98
HuntAndKill,Rectangle,3360,6.86,92.25,0.43,40.96,8.72,92.25,4.74,47.9,8.78,91.74
Kruskal,Rectangle,3360,3.05,43.96,0.37,33.83,3.33,43.96,2.96,33.83,3.38,39.71
Wilsons,Rectangle,920,6.8,93.75,0.84,77.86,8.36,93.75,7.15,81.05,8.1,85.37
HuntAndKill,Rectangle,2992,6.84,99.87,0.93,86.62,7.91,99.87,9.99,92.87,9.2,98.62
GrowingTree,Rectangle,2240,4.47,54.6,0.2,16.7,5.7,54.6,1.62,16.82,5.24,48.09
GrowingTree,Rectangle,3132,4.89,66.98,0.5,42.21,5.75,66.98,2.32,27.52,5.79,62.73
BinaryTree,Rectangle,3996,1.98,29.58,0.26,22.08,2.27,29.58,1.92,22.14,2.59,28.46
GrowingTree,Rectangle,2040,3.61,49.09,0.26,23.58,4.11,49.09,2.31,27.08,3.97,41.84
Prims,Rectangle,3276,5.18,72.86,0.77,59.1,6.8,72.86,3.3,38.09,7.24,72.86
BacktrackingGenerator,Rectangle,1152,4.83,66.85,0.62,56.1,5.34,66.85,5.14,57.6,6.03,64.23
Kruskal,Rectangle,5032,4.42,61.6,0.27,25.33,4.97,61.6,2.21,25.95,5.37,60.98
BacktrackingGenerator,Rectangle,5320,5.41,73.48,0.64,56.47,5.94,73.48,5.34,56.54,6.42,69.61
HuntAndKill,Rectangle,1320,6.44,88.62,0.44,39.96,8.24,88.62,4.06,40.9,7.88,81.74
Wilsons,Rectangle,1100,4.9,70.48,0.33,30.08,5.73,70.48,2.71,32.65,5.92,64.73
