Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
Sidewinder,Rectangle,1624,6.78,93.75,0.64,57.72,7.51,93.75,5.38,60.48,8.56,92.5
Ellers,Rectangle,3000,4.96,68.11,0.41,37.09,5.55,68.11,3.14,38.59,5.77,65.35
GrowingTree,Rectangle,660,5.16,71.48,0.37,33.33,6.23,71.48,3.99,42.59,6.31,65.48
Division,Rectangle,3696,4.97,70.61,0.54,48.47,6.03,70.61,4.97,49.84,6.11,70.61
Kruskal,Rectangle,1680,7.02,99.62,0.7,64.85,8.45,99.62,8.11,96.25,10.38,98.25
Prims,Rectangle,1984,6.68,92.62,0.85,82.99,7.65,92.62,7.34,86.12,8.06,91.87
Kruskal,Rectangle,5616,5.05,72.48,0.53,49.72,6.8,72.48,5,53.47,6.89,71.23
HuntAndKill,Rectangle,3744,4.8,64.29,0.75,66.6,5.72,64.35,2.84,32.77,5.21,56.1
Wilsons,Rectangle,2376,4.74,68.11,0.39,34.46,5.68,68.11,4.98,50.09,6.08,63.48
Wilsons,Rectangle,1872,4.04,57.6,0.29,26.08,4.55,57.6,4.7,54.35,4.31,47.09
TrivialMaze,Rectangle,2944,6.85,97.62,0.79,76.11,8.66,97.62,6.87,78.99,9.17,97.5
BacktrackingGenerator,Rectangle,3360,5.57,76.61,0.4,37.21,6.24,76.61,3.35,39.77,5.8,66.98
Prims,Rectangle,2736,3.74,50.97,0.26,21.95,4.49,50.97,1.97,20.26,6.15,46.34
CellularAutomaton,Rectangle,3168,4.27,60.6,0.67,57.97,4.95,60.6,4.97,57.97,4.97,52.72
BacktrackingGenerator,Rectangle,1980,4.64,62.48,0.56,50.09,5.3,62.48,4.79,52.22,7.04,60.35
CellularAutomaton,Rectangle,1848,6.38,90.62,0.38,33.83,7.23,90.62,3.76,45.28,7.83,86.24
GrowingTree,Rectangle,3552,4.77,63.98,0.33,29.33,5.46,63.98,5.48,59.35,5.14,49.84
Sidewinder,Rectangle,1904,6.27,85.87,0.32,28.46,6.95,85.87,4.39,50.59,6.92,77.24
Division,Rectangle,2960,7.19,100,1.02,81.86,8.29,100,3.12,33.02,8.97,97.25
CellularAutomaton,Rectangle,3960,6.57,90.99,0.4,35.96,7.67,90.99,3.37,40.09,6.53,67.73
BinaryTree,Rectangle,520,5.3,66.6,0.31,28.08,6.81,66.6,2.7,29.52,6.98,65.1
TrivialMaze,Square,2500,5.08,70.11,0.33,29.46,5.52,70.11,7.6,83.11,5.99,64.85
TrivialMaze,Rectangle,3960,4.41,58.35,0.55,48.97,5.2,58.35,4.75,54.22,6.27,55.72
BacktrackingGenerator,Rectangle,2380,3.3,49.47,0.25,21.33,3.76,49.47,1.91,22.33,3.51,40.34
GrowingTree,Rectangle,3648,5.14,74.48,0.42,36.96,6.36,74.48,3.42,38.34,7.03,74.23
AldousBroder,Rectangle,3400,6.81,97.25,1,93.62,8.1,97.25,8.42,95.37,8.5,97.25
AldousBroder,Rectangle,1520,3.31,50.22,0.36,32.58,3.78,50.22,3.31,34.27,3.79,43.71
Wilsons,Rectangle,1872,6.42,94.12,0.61,58.6,7.47,94.12,5.96,70.23,8.37,91.87
GrowingTree,Rectangle,760,2.71,40.46,0.17,13.95,3.11,40.46,1.45,14.13,3.72,35.46
Ellers,Rectangle,1440,4.48,60.48,0.48,44.47,4.76,60.48,4.64,55.6,5.47,58.97
Ellers,Rectangle,1472,7.2,95,0.41,34.83,8.8,95,3.63,39.65,8.42,91.99
HuntAndKill,Rectangle,3348,4.74,64.98,0.35,29.83,5.56,64.98,1.86,21.58,5.17,55.85
Wilsons,Rectangle,3744,6.42,88.99,0.36,32.33,7.81,88.99,2.75,33.33,7.9,85.24
AldousBroder,Rectangle,3496,5.34,74.36,0.45,41.71,6.31,74.36,3.62,42.15,5.34,59.22
BinaryTree,Rectangle,1860,5.59,76.36,0.3,25.83,6.83,76.36,2.83,33.21,6.17,63.98
Prims,Rectangle,1288,7.18,97.5,0.79,76.61,7.61,97.5,8.01,90.93,8.75,96.37
HuntAndKill,Rectangle,2176,5.79,80.11,0.43,35.58,6.82,80.11,3.11,36.71,7.43,72.23
GrowingTree,Rectangle,4836,6.93,87.24,0.65,61.73,7.44,87.24,6.88,72.67,7.7,83.36
BacktrackingGenerator,Rectangle,2112,4.52,62.6,0.22,18.2,5.01,62.6,1.71,18.64,5.28,52.1
BacktrackingGenerator,Rectangle,2368,4.98,67.23,0.23,20.33,5.55,67.23,3.18,36.15,6.43,64.73
BinaryTree,Square,1600,6.29,85.24,0.26,22.2,7.32,85.24,2.4,24.58,6.94,72.98
CellularAutomaton,Rectangle,4224,4.97,71.36,0.54,44.22,5.58,71.36,4.33,49.78,6.16,65.23
Ellers,Rectangle,1820,5.71,81.49,0.69,59.97,7.17,81.49,6.39,72.61,7.44,79.36
Sidewinder,Rectangle,1440,6.06,89.24,0.86,83.36,7.28,89.24,7.62,87.93,7.98,88.24
AldousBroder,Rectangle,2268,5.44,77.74,0.51,46.72,6.49,77.74,5.55,58.97,6.74,75.23
TrivialMaze,Rectangle,1232,2.45,36.52,0.43,41.21,3.74,36.59,2.37,28.52,2.62,31.08
GrowingTree,Rectangle,1680,4.2,55.22,0.59,46.59,5.31,55.22,4.59,46.34,5.43,54.35
HuntAndKill,Rectangle,1944,5.14,74.86,0.68,60.73,6.09,74.86,5.68,63.6,6.38,70.98
Division,Rectangle,3840,4.29,62.73,0.27,22.45,5.82,62.73,2.03,23.08,5.91,56.6
BacktrackingGenerator,Rectangle,3780,5.66,76.49,0.52,42.21,6.02,76.49,5.06,55.85,6.38,69.61
HuntAndKill,Rectangle,3456,6.12,81.11,0.85,71.73,7.17,81.11,8.28,76.61,7.65,79.86
Division,Rectangle,2652,6.74,91.37,0.83,80.36,8.27,91.37,7.08,80.99,8.06,90.37
GrowingTree,Square,900,4.94,69.48,0.45,40.09,5.52,69.48,5.94,65.85,6.45,68.11
BacktrackingGenerator,Rectangle,3200,5.74,81.74,0.42,37.96,6.64,81.74,4.05,43.03,7.3,80.99
GrowingTree,Rectangle,5304,4.69,68.23,0.41,37.59,5.95,68.23,3.47,42.28,5.88,58.47
TrivialMaze,Rectangle,4368,5.74,79.74,0.6,51.72,6.28,79.74,4.72,54.16,6.97,79.24
GrowingTree,Rectangle,2280,5.03,74.11,0.49,43.71,6.85,74.11,5.11,57.97,6.59,71.61
Division,Rectangle,2040,5.16,69.11,0.53,48.22,5.51,69.11,4.7,48.66,5.71,62.73
Division,Rectangle,1872,5.2,71.98,0.49,43.21,5.49,71.98,4.42,43.78,5.91,64.1
Wilsons,Rectangle,1872,5.93,83.11,0.71,67.35,6.6,83.11,6.94,82.11,7.25,82.36
Wilsons,Rectangle,1040,7.07,100,0.53,47.97,8.76,100,6.72,73.86,8.84,99.62
BinaryTree,Rectangle,2808,5.14,73.23,0.68,63.73,5.81,73.23,5.62,65.42,6.42,72.98
Prims,Rectangle,560,7.8,99.37,1.13,90.99,11.29,99.37,12.25,99.37,12.63,99.37
BacktrackingGenerator,Rectangle,2464,6.8,96,0.76,71.11,7.81,96,6.99,82.43,8.22,93.87
Ellers,Rectangle,3040,6.46,91.87,0.35,31.33,7.58,91.87,3.03,37.71,7.88,87.87
BinaryTree,Rectangle,3108,5.44,69.86,0.25,21.2,5.77,69.86,3.75,43.9,6.13,64.1
TrivialMaze,Rectangle,4200,7.32,98.75,0.68,61.35,8.91,98.75,6.45,70.67,8.95,96.87
BacktrackingGenerator,Rectangle,1300,4.78,63.66,0.54,49.59,5.16,63.73,4.26,49.72,4.39,48.72
Ellers,Rectangle,4340,5.61,80.99,0.69,64.35,7.89,81.11,8.11,79.92,6.81,73.73
HuntAndKill,Rectangle,2200,6.97,99.75,0.72,64.98,8.23,99.75,5.34,55.72,9.37,98.75
Ellers,Rectangle,1792,6.21,86.49,0.48,42.71,7.08,86.49,4.61,48.66,8.2,77.24
AldousBroder,Rectangle,3536,6.86,94,0.36,32.46,7.79,94,2.92,34.15,8.16,90.62
Ellers,Rectangle,3472,4.69,65.73,0.42,37.71,5.41,65.73,4.79,47.72,5.46,59.47
Wilsons,Square,5476,5.25,68.23,0.44,39.21,5.71,68.23,3.3,40.21,5.07,57.97
BinaryTree,Rectangle,1596,4.94,67.35,0.63,53.97,6.1,67.35,7.63,64.42,6,65.73
BacktrackingGenerator,Rectangle,1600,5.05,70.11,0.4,36.21,5.55,70.11,2.93,36.21,6.77,66.85
Kruskal,Rectangle,2304,3.9,51.84,0.24,20.33,5.27,51.84,1.71,17.82,4.29,43.21
Prims,Rectangle,624,6.57,95.12,0.55,49.72,7.79,95.12,4.74,52.1,8.07,91.37
Sidewinder,Rectangle,1064,5.27,71.48,0.43,37.84,6.61,71.48,5.57,60.23,6.27,63.73
Division,Rectangle,1728,5.9,84.87,0.68,61.23,6.71,84.87,6.86,75.67,7.5,81.49
Kruskal,Rectangle,2280,6.57,85.87,0.81,77.99,7.93,85.87,7.31,85.62,8.12,85.74
Kruskal,Rectangle,1040,7.53,98.5,0.5,44.97,8.24,98.5,7,77.11,9.35,97.12
Division,Rectangle,2720,6.34,85.37,0.79,74.61,8.42,85.37,7.08,79.74,7.75,83.49
TrivialMaze,Rectangle,2940,6.88,95.87,0.36,31.83,7.83,95.87,3.22,37.15,8.17,88.62
HuntAndKill,Rectangle,1728,4.71,66.73,0.43,38.21,5.45,66.73,3.76,40.71,5.31,55.72
Division,Rectangle,1728,2.78,41.59,0.34,29.96,3.43,41.59,2.56,30.89,3.03,36.09
BacktrackingGenerator,Rectangle,1632,4.86,66.73,0.39,34.83,5.64,66.73,2.54,27.7,6.04,63.23
Prims,Square,900,4.41,51.09,0.31,26.08,4.31,51.09,2.34,26.39,4.73,49.34
BacktrackingGenerator,Rectangle,2072,5.81,81.99,0.5,43.09,6.98,81.99,4.15,43.03,6.62,70.23
GrowingTree,Rectangle,1392,5.01,68.61,0.33,29.21,5.68,68.61,3.66,40.4,5.91,64.48
HuntAndKill,Rectangle,1680,6.6,93.75,0.71,66.98,8.55,93.75,8.16,92.5,8.85,93
Prims,Rectangle,1392,6.18,87.74,0.51,45.22,7.44,87.74,4.67,50.72,7.4,81.49
BinaryTree,Rectangle,2560,5.34,73.36,0.76,63.6,6.42,73.36,6.28,71.79,6.49,72.73
Ellers,Rectangle,4588,7.03,92.75,0.44,39.96,7.67,92.75,3.69,42.46,8.06,88.99
Prims,Rectangle,1512,3.46,52.72,0.74,69.48,4.43,52.85,2.32,20.08,2.88,32.83
Prims,Rectangle,3264,5.31,77.24,0.2,18.32,6.65,77.24,1.52,18.45,5.07,56.47
HuntAndKill,Rectangle,1368,2.63,39.71,0.25,21.83,3.32,39.71,2.31,23.08,2.81,30.08
BacktrackingGenerator,Rectangle,4864,5.22,76.36,0.45,41.21,6.41,76.36,3.44,41.15,6.86,68.48
HuntAndKill,Rectangle,2312,3.85,58.47,0.49,45.72,4.61,58.47,4.9,56.22,5.1,57.97
Ellers,Rectangle,2072,4.54,62.23,0.21,18.2,5.06,62.23,3.69,42.78,5.69,61.98
TrivialMaze,Rectangle,6240,7.43,91.56,1,87.24,8.37,91.87,8.58,99.62,6.84,72.98
Kruskal,Rectangle,1920,5.89,82.24,0.7,61.73,6.66,82.24,6.15,71.04,6.71,75.23
Prims,Rectangle,2016,6.16,87.74,1,89.12,8.27,87.99,6.4,70.86,7.28,76.99
CellularAutomaton,Rectangle,2448,6,84.12,0.82,72.86,6.81,84.12,7.2,83.61,7.41,83.61
BinaryTree,Rectangle,3192,3.53,52.22,0.22,19.32,4.65,52.22,1.78,20.58,3.62,41.34
HuntAndKill,Rectangle,2760,4.4,55.47,0.39,37.71,4.4,55.47,3.08,38.21,4.8,54.72
Wilsons,Rectangle,960,4.56,63.85,0.62,56.1,5.55,63.98,5.88,64.73,5.17,55.72
Sidewinder,Rectangle,1512,6.46,81.86,0.44,40.96,6.45,81.86,4.13,43.59,7.16,79.24
AldousBroder,Rectangle,2736,4.67,64.73,0.54,42.59,5.26,64.73,4.51,45.97,5.64,58.1
Division,Rectangle,1976,5.84,80.24,0.38,35.21,6.82,80.24,3.6,38.09,5.57,60.1
AldousBroder,Rectangle,1400,6.01,86.12,0.4,33.08,7.63,86.12,6.67,72.73,7.35,81.11
BinaryTree,Rectangle,2592,6.07,85.37,0.8,77.36,6.83,85.37,7.07,85.24,7.22,85.24
CellularAutomaton,Rectangle,2808,6.6,96,0.89,79.61,7.62,96,7.75,84.87,8.86,95.87
Sidewinder,Rectangle,4160,5.4,75.23,0.6,55.72,6.09,75.23,4.52,50.22,6.18,71.11
AldousBroder,Rectangle,3200,6.23,88.74,0.62,56.72,7.85,88.74,6.78,79.55,8.09,88.74
Prims,Rectangle,2392,4.71,67.35,0.61,50.59,5.21,67.35,5.31,49.22,5.6,58.72
Prims,Rectangle,1232,3.19,49.09,0.4,37.34,4.01,49.09,4.09,39.27,4.46,47.72
Kruskal,Rectangle,1716,4.45,60.98,0.59,51.09,5.24,60.98,4.95,51.66,5.44,59.47
Ellers,Rectangle,960,3.81,56.79,0.56,40.71,5.86,56.85,1.61,18.39,4.22,42.46
Prims,Rectangle,1248,6.26,89.49,0.63,55.85,7.42,89.49,7.57,86.99,8.19,88.99
Division,Rectangle,1840,3.86,50.72,0.23,19.32,5.03,50.72,1.77,19.32,4.11,44.59
TrivialMaze,Rectangle,3404,6.81,99.62,1.06,94.5,8.08,99.62,8.67,98.25,9.17,99.62
CellularAutomaton,Rectangle,1568,6.05,86.12,0.5,41.96,7.69,86.24,6.68,70.23,7.37,81.74
TrivialMaze,Rectangle,2016,5.61,77.49,0.27,23.95,6.85,77.49,2.38,28.02,6.39,70.11
BacktrackingGenerator,Rectangle,3120,3.45,44.72,0.38,33.71,3.97,44.72,3.25,34.21,3.84,39.59
BinaryTree,Rectangle,4060,6.32,88.62,0.66,62.6,7.47,88.87,8.48,98.87,7.25,82.49
Ellers,Rectangle,1260,4.93,70.98,0.37,33.96,6.26,70.98,3.24,34.9,6.28,67.48
Division,Rectangle,2232,5.38,76.36,0.43,39.09,6.16,76.36,5.96,68.54,6.59,71.98
Sidewinder,Rectangle,2816,4.47,62.6,0.24,20.2,5.94,62.6,1.76,20.26,4.97,50.22
TrivialMaze,Rectangle,1800,5.73,79.24,0.73,65.98,6.66,79.24,6.89,71.92,6.84,74.98
Division,Rectangle,3432,3.62,55.22,0.29,25.45,4.54,55.22,6.12,58.1,4.83,50.47
Ellers,Rectangle,1188,5.46,80.86,0.7,64.6,6.51,80.86,5.95,64.6,6.95,76.86
Ellers,Rectangle,2080,6.82,96.25,0.42,38.59,8.16,96.25,4.49,44.28,8.71,94.37
Ellers,Rectangle,1560,5.54,74.61,0.43,38.96,6.6,74.61,4.51,45.15,7.77,71.23
HuntAndKill,Rectangle,840,5.94,85.87,0.33,29.33,7,85.87,2.49,30.71,6.4,71.73
HuntAndKill,Rectangle,672,3.83,58.41,0.93,86.87,4.86,58.6,2.95,31.33,4.49,47.72
Sidewinder,Rectangle,1368,5.68,74.11,0.26,22.33,6.1,74.11,3.32,39.65,6.18,66.35
GrowingTree,Rectangle,2088,5.7,81.49,0.65,58.72,6.44,81.49,5.59,60.29,7.37,79.74
HuntAndKill,Rectangle,4352,2.45,33.33,0.15,13.07,2.5,33.33,1.09,13.07,2.31,27.2
Sidewinder,Rectangle,1152,4.79,68.11,0.42,38.59,5.6,68.11,3.94,43.15,5.75,60.23
BinaryTree,Rectangle,2856,6.63,95.37,0.44,39.09,7.64,95.37,5.54,60.66,8.5,91.37
HuntAndKill,Rectangle,2888,3.63,46.34,0.27,21.45,3.57,46.34,8.16,78.86,3.08,36.21
AldousBroder,Rectangle,3680,4.84,62.35,0.54,48.09,5.1,62.35,4.9,52.47,5.08,57.6
Ellers,Rectangle,1320,2.4,35.96,0.31,27.08,2.78,35.96,2.08,24.33,3.37,33.21
Division,Rectangle,1188,6.28,92.25,0.43,39.84,8.05,92.25,4.19,46.84,8.27,90.49
Kruskal,Rectangle,2400,6.26,89.12,1.09,92.5,8.29,89.37,9.12,94.12,6.71,76.49
Division,Rectangle,2392,5.96,84.99,0.77,68.23,6.76,84.99,3.24,37.84,7.48,80.11
Prims,Rectangle,836,3.47,51.34,0.36,32.58,3.79,51.34,3.72,35.02,5.76,51.22
AldousBroder,Rectangle,1672,4.07,55.22,0.44,39.34,4.77,55.22,3.36,41.4,4.74,52.22
CellularAutomaton,Rectangle,2816,4.32,59.97,0.62,58.72,5.09,59.97,5.63,59.6,5.92,57.85
Sidewinder,Rectangle,1100,5.38,74.23,0.84,60.35,6.18,74.23,5.59,60.73,6.27,70.36
AldousBroder,Rectangle,1500,6.87,84.99,0.4,32.71,8.64,84.99,3.22,36.15,8.82,82.99
Kruskal,Rectangle,2552,6.36,92.37,0.32,28.46,7.41,92.37,4.73,53.6,8.09,86.74
HuntAndKill,Rectangle,3596,3.95,57.6,0.2,16.07,4.87,57.6,2.45,24.89,4.78,44.72
AldousBroder,Rectangle,1040,6.94,96.75,1.14,93.25,11.61,96.75,11.62,94.75,9.28,96.37
Ellers,Rectangle,1352,6.32,89.74,0.37,34.58,7.55,89.74,3.49,39.96,7.35,79.86
HuntAndKill,Rectangle,1248,7.16,97.87,0.85,77.99,7.94,97.87,6.93,82.49,8.76,97.12
Kruskal,Rectangle,1160,6.35,87.49,0.69,62.23,7.11,87.49,4.12,41.65,7.84,84.62
BacktrackingGenerator,Rectangle,3920,5.55,76.74,0.43,40.09,6.06,76.74,3.64,43.21,6.75,75.61
Wilsons,Rectangle,3900,6.03,78.99,0.6,42.96,6.58,78.99,4.34,47.4,6.5,71.61
HuntAndKill,Rectangle,1440,5.95,85.62,0.76,70.86,7.25,85.62,7.36,84.12,7.48,83.49
GrowingTree,Rectangle,1320,5.18,62.23,1.19,52.97,7.88,62.23,7.9,61.16,6.38,61.98
Sidewinder,Rectangle,2100,5.61,73.86,0.48,41.21,5.96,73.86,3.62,42.53,6.16,66.35
Sidewinder,Rectangle,1224,6.21,85.74,0.98,84.99,7.49,85.87,6.95,78.11,7.28,81.36
Prims,Rectangle,2784,6.18,89.49,0.86,83.86,7.2,89.49,7.42,87.37,8.54,88.87
Prims,Rectangle,3520,6.46,91.24,0.48,43.21,7.58,91.24,8.17,88.99,8.3,89.99
AldousBroder,Rectangle,2240,5.95,74.98,0.64,55.22,6.21,75.23,3.96,43.03,5.61,61.73
Division,Rectangle,3456,6.09,88.62,0.86,83.11,8.19,88.62,7.78,85.05,8.61,88.62
BinaryTree,Rectangle,1980,4.89,65.6,0.5,46.84,5.32,65.6,4.89,52.22,5.41,58.6
TrivialMaze,Rectangle,4320,2.57,39.46,0.37,33.71,3.72,39.46,2.98,36.46,3.42,38.21
BinaryTree,Rectangle,1904,5.91,81.11,0.55,47.97,7.21,81.11,7.15,79.99,7.18,80.24
Sidewinder,Rectangle,1248,7.11,99.87,0.41,38.09,9.93,99.87,3.51,41.34,9.9,98
Prims,Rectangle,2900,3.63,54.72,0.24,21.95,4.44,54.72,2.21,23.83,4.61,50.47
HuntAndKill,Rectangle,1872,6.33,87.62,0.49,43.71,8.08,87.62,4.85,47.97,8.7,84.37
Prims,Rectangle,4884,4.5,63.48,0.44,40.96,5.12,63.48,5.51,63.35,5.8,62.1
Prims,Rectangle,2784,6.49,86.62,0.8,76.11,8.21,86.62,8.43,82.86,7.75,84.99
Sidewinder,Rectangle,880,4,56.22,0.4,37.09,4.58,56.22,3.69,39.27,4.54,46.97
Kruskal,Rectangle,816,3.67,50.72,0.38,33.08,3.83,50.72,4.9,48.09,4.85,49.34
Division,Rectangle,3248,6.91,95.12,0.44,41.34,7.81,95.12,5.33,51.03,8.13,89.12
BinaryTree,Rectangle,1408,6.13,84.49,0.37,33.21,7.01,84.49,3.99,37.09,8.54,84.24
Division,Rectangle,968,7.3,96.5,0.45,40.96,7.61,96.5,6.6,75.17,8.81,95.25
BinaryTree,Rectangle,2352,5.88,79.61,0.68,61.48,6.47,79.61,5.94,64.6,8.07,79.61
Sidewinder,Rectangle,2464,6.02,82.61,0.66,57.72,7.13,82.61,5.43,60.6,7.58,82.36
GrowingTree,Rectangle,1560,6.22,85.99,0.45,32.58,8.05,85.99,3.61,34.65,8.14,82.49
Ellers,Rectangle,1836,6.34,93,0.29,25.7,7.51,93,2.31,26.64,7.76,86.87
Division,Rectangle,1260,5.26,69.54,0.75,71.48,6.37,69.61,7.39,81.24,6.07,62.98
Kruskal,Rectangle,5624,6.61,91.62,0.5,42.71,7.56,91.62,4.57,51.97,7.46,81.99
AldousBroder,Rectangle,2496,6.04,86.87,0.66,59.97,8.82,86.87,5.77,64.29,6.56,73.36
HuntAndKill,Rectangle,1092,5.77,74.11,0.65,55.6,6.77,74.23,2.02,22.89,5.99,64.35
TrivialMaze,Rectangle,1496,3.01,44.47,0.26,23.33,3.34,44.47,2.26,26.89,3.46,41.34
AldousBroder,Rectangle,4480,5.65,77.74,0.27,23.45,6.57,77.74,4.8,48.09,6.93,74.11
HuntAndKill,Rectangle,3780,5.58,72.36,0.36,34.08,6.21,72.36,3.15,37.34,6.65,71.98
CellularAutomaton,Rectangle,2736,6.24,84.3,0.92,80.86,6.93,84.49,7.28,80.86,7.18,76.49
HuntAndKill,Rectangle,4640,4.97,65.48,0.6,53.97,5.28,65.48,3.28,39.77,4.95,54.1
Kruskal,Rectangle,3996,5.57,75.61,0.75,68.36,7.27,75.61,6.43,71.23,6.99,74.73
HuntAndKill,Square,3364,4.44,61.1,0.32,28.83,5.16,61.1,2.75,33.02,5.42,57.6
Sidewinder,Rectangle,5032,4.58,65.73,0.34,27.58,6.96,65.73,6.51,72.98,4.37,46.97
CellularAutomaton,Rectangle,2508,6.93,98.75,0.74,68.11,8.2,98.75,8.49,98.5,8.85,98.75
GrowingTree,Rectangle,1624,5.59,79.11,0.81,74.23,6.42,79.11,6.9,75.42,7.43,77.49
HuntAndKill,Rectangle,5920,6.22,85.37,0.81,75.23,7.72,85.49,7,79.49,7.53,81.86
Sidewinder,Rectangle,2668,5.47,76.24,0.71,60.6,7.05,76.24,6.14,67.04,7.14,74.23
BinaryTree,Rectangle,3224,6.55,88.99,0.71,67.23,7.35,88.99,6.22,68.61,7.35,77.61
GrowingTree,Rectangle,2464,6.11,85.62,0.78,72.86,8.12,85.62,7.58,83.99,7.71,85.49
TrivialMaze,Square,3600,4.63,64.1,0.62,56.1,5.26,64.1,4.18,47.15,5.42,61.1
CellularAutomaton,Rectangle,1976,6.6,91.49,0.83,81.99,7.14,91.49,8.13,90.49,8.58,90.99
BacktrackingGenerator,Rectangle,1976,5.48,72.86,0.55,46.34,5.55,72.86,4.54,53.22,6.31,72.48
Division,Rectangle,3128,5.41,74.48,0.37,32.83,5.84,74.48,3.24,32.9,6.86,73.11
Ellers,Rectangle,3224,6.84,95.5,0.67,63.6,7.77,95.5,6.06,64.23,9.11,91.37
BinaryTree,Rectangle,680,6.93,96.5,0.68,62.85,8.76,96.5,8.25,94.75,8.6,96.5
AldousBroder,Rectangle,3996,7.33,99.12,0.54,49.47,8.5,99.12,5.23,56.29,8.41,94.62
